Port Name,Latitude,Longitude,Port_Type,Port Size,UN/LOCODE,Source URL
Quatsino Sound Harbor,"50° 32' 13"" N","127° 37' 31"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Quatsino_Sound_Harbor_4073.php
Riviere du Loup Harbor,"47° 50' 48"" N","69° 34' 8"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Riviere_du_Loup_Harbor_4022.php
Port North Fraser *,"49° 11' 59"" N","123° 8' 3"" W",River Port,Medium,,http://www.worldportsource.com/ports/CAN_Port_North_Fraser_198.php
Port of Prescott,"44° 43' 58"" N","75° 28' 20"" W",Seaport,Small,CAPRE,http://www.worldportsource.com/ports/CAN_Port_of_Prescott_2089.php
Port of Pugwash,"45° 50' 49"" N","63° 39' 38"" W",Harbor,Small,CAPUG,http://www.worldportsource.com/ports/CAN_Port_of_Pugwash_2609.php
Port of Richibucto,"46° 40' 55"" N","64° 51' 37"" W",Harbor,Small,CARBT,http://www.worldportsource.com/ports/CAN_Port_of_Richibucto_2640.php
Queen Charlotte Harbor,"53° 15' 11"" N","132° 4' 20"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/CAN_Queen_Charlotte_Harbor_4192.php
Portneuf Harbor,"46° 41' 2"" N","71° 52' 48"" W","Pier, Jetty or Wharf",Very Small,CAPTN,http://www.worldportsource.com/ports/CAN_Portneuf_Harbor_4071.php
Quathiaski Cove Harbor,"50° 2' 49"" N","125° 13' 16"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/CAN_Quathiaski_Cove_Harbor_3984.php
Port Stanley,"42° 39' 36"" N","81° 12' 44"" W",Harbor,Small,CAPST,http://www.worldportsource.com/ports/CAN_Port_Stanley_4070.php
Port Weller,"43° 13' 59"" N","79° 13' 0"" W",Harbor,Small,CAPWE,http://www.worldportsource.com/ports/CAN_Port_Weller_1819.php
Port of Powell River,"49° 50' 6"" N","124° 31' 46"" W","Pier, Jetty or Wharf",Small,CAPOW,http://www.worldportsource.com/ports/CAN_Port_of_Powell_River_1492.php
Port of Port of Mellon,"49° 31' 10"" N","123° 28' 58"" W","Pier, Jetty or Wharf",Small,CAPML,http://www.worldportsource.com/ports/CAN_Port_of_Port_of_Mellon_1491.php
Port Neville Harbor,"50° 29' 39"" N","126° 5' 23"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Port_Neville_Harbor_4036.php
Port Medway,"44° 7' 53"" N","64° 34' 32"" W","Pier, Jetty or Wharf",Very Small,CAPMW,http://www.worldportsource.com/ports/CAN_Port_Medway_4069.php
Port Hope Harbour,"43° 56' 34"" N","78° 17' 32"" W",Harbor,Small,CAOPE,http://www.worldportsource.com/ports/CAN_Port_Hope_Harbour_2638.php
Port of Port Hawkesbury *,"45° 36' 36"" N","61° 21' 32"" W",Seaport,Medium,CAPHW,http://www.worldportsource.com/ports/CAN_Port_of_Port_Hawkesbury_2647.php
Port Hastings,"45° 38' 51"" N","61° 24' 32"" W",River Port,Very Small,,http://www.worldportsource.com/ports/CAN_Port_Hastings_4057.php
Port of Port Hardy,"50° 43' 16"" N","127° 29' 2"" W",Harbor,Small,CAPHY,http://www.worldportsource.com/ports/CAN_Port_of_Port_Hardy_2636.php
Port Harvey,"50° 33' 55"" N","126° 16' 17"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Port_Harvey_4037.php
Port Colborne,"42° 52' 26"" N","79° 14' 55"" W",Harbor,Small,CAPCO,http://www.worldportsource.com/ports/CAN_Port_Colborne_1817.php
Port Dalhousie,"43° 12' 15"" N","79° 15' 46"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Port_Dalhousie_1818.php
Port Credit,"43° 33' 0"" N","79° 34' 45"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Port_Credit_3997.php
Port Clements,"53° 41' 15"" N","132° 11' 12"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Port_Clements_4196.php
Port Aux Basques Harbour,"47° 34' 48"" N","59° 8' 29"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Port_Aux_Basques_Harbour_2635.php
Port of Port Alice,"50° 23' 0"" N","127° 27' 7"" W",Harbor,Small,CAPAC,http://www.worldportsource.com/ports/CAN_Port_of_Port_Alice_2092.php
Port of Port Alberni,"49° 13' 48"" N","124° 49' 15"" W","Pier, Jetty or Wharf",Small,CAPAB,http://www.worldportsource.com/ports/CAN_Port_of_Port_Alberni_1735.php
Pointe-au-Pic Harbor,"47° 37' 22"" N","70° 8' 27"" W",Harbor,Very Small,CAPPC,http://www.worldportsource.com/ports/CAN_Pointe_au_Pic_Harbor_4067.php
Placentia Harbor,"47° 14' 55"" N","53° 57' 49"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/CAN_Placentia_Harbor_4046.php
Port of Pictou,"45° 40' 29"" N","62° 42' 25"" W",Seaport,Small,CAPTO,http://www.worldportsource.com/ports/CAN_Port_of_Pictou_3728.php
Port of Penetanguishene,"44° 46' 46"" N","79° 56' 35"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Port_of_Penetanguishene_2634.php
Parry Sound Harbour,"45° 20' 17"" N","80° 2' 8"" W",Harbor,Small,CAPRS,http://www.worldportsource.com/ports/CAN_Parry_Sound_Harbour_2633.php
Paspebiac Harbor,"48° 1' 7"" N","65° 15' 22"" W",Harbor,Small,CAPAS,http://www.worldportsource.com/ports/CAN_Paspebiac_Harbor_4066.php
Owen Sound Harbor,"44° 34' 42"" N","80° 56' 27"" W",Harbor,Small,CAOWS,http://www.worldportsource.com/ports/CAN_Owen_Sound_Harbor_4064.php
Port of Oshawa,"43° 52' 1"" N","78° 49' 27"" W",Harbor,Small,CAOSH,http://www.worldportsource.com/ports/CAN_Port_of_Oshawa_2087.php
Parrsboro Harbour,"45° 24' 0"" N","64° 19' 34"" W",Harbor,Small,CAPAR,http://www.worldportsource.com/ports/CAN_Parrsboro_Harbour_2632.php
North Sydney Harbor,"46° 12' 32"" N","60° 14' 34"" W",Harbor,Small,CANSY,http://www.worldportsource.com/ports/CAN_North_Sydney_Harbor_4063.php
Newcastle Harbor,"46° 59' 51"" N","65° 33' 43"" W",Harbor,Small,CANCT,http://www.worldportsource.com/ports/CAN_Newcastle_Harbor_3993.php
Ocean Falls Harbour,"52° 21' 3"" N","127° 41' 31"" W",Harbor,Small,CAOFA,http://www.worldportsource.com/ports/CAN_Ocean_Falls_Harbour_2631.php
New Richmond Harbor,"48° 8' 19"" N","65° 50' 9"" W","Pier, Jetty or Wharf",Very Small,CANRC,http://www.worldportsource.com/ports/CAN_New_Richmond_Harbor_4061.php
New Glasgow and Trenton Harbor,"45° 36' 25"" N","62° 38' 44"" W",Harbor,Small,CANGL,http://www.worldportsource.com/ports/CAN_New_Glasgow_and_Trenton_Harbor_4060.php
Natashquan Harbor,"50° 11' 17"" N","61° 50' 1"" W","Pier, Jetty or Wharf",Very Small,CAYNA,http://www.worldportsource.com/ports/CAN_Natashquan_Harbor_4059.php
Port of Nanaimo,"49° 10' 10"" N","123° 55' 55"" W",Harbor,Small,CANNO,http://www.worldportsource.com/ports/CAN_Port_of_Nanaimo_196.php
Port of Mulgrave,"45° 36' 22"" N","61° 23' 20"" W",Seaport,Small,CAMUL,http://www.worldportsource.com/ports/CAN_Port_of_Mulgrave_2646.php
Montague Harbor,"46° 9' 56"" N","62° 38' 41"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Montague_Harbor_4056.php
Mont Louis Harbor,"49° 13' 54"" N","65° 43' 55"" W",Harbor,Very Small,CAMOL,http://www.worldportsource.com/ports/CAN_Mont_Louis_Harbor_4055.php
Port of Midland,"44° 45' 24"" N","79° 53' 30"" W",Harbor,Small,CAMID,http://www.worldportsource.com/ports/CAN_Port_of_Midland_2630.php
Nanisivik Harbor,"73° 4' 7"" N","84° 32' 55"" W","Pier, Jetty or Wharf",Very Small,CANVK,http://www.worldportsource.com/ports/CAN_Nanisivik_Harbor_4058.php
Oakville Harbor,"43° 26' 31"" N","79° 40' 12"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Oakville_Harbor_3996.php
Michipicoten Harbour,"47° 57' 34"" N","84° 53' 58"" W",Harbor,Small,CAMIH,http://www.worldportsource.com/ports/CAN_Michipicoten_Harbour_2648.php
Meteghan Harbor,"44° 13' 8"" N","66° 8' 35"" W",Harbor,Small,CAMET,http://www.worldportsource.com/ports/CAN_Meteghan_Harbor_4054.php
Matane Harbor,"48° 50' 31"" N","67° 34' 26"" W",Harbor,Small,CAMNE,http://www.worldportsource.com/ports/CAN_Matane_Harbor_4053.php
Masset Harbor,"54° 0' 24"" N","132° 8' 44"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Masset_Harbor_4194.php
Marysville Harbor,"44° 11' 43"" N","76° 26' 21"" W","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/CAN_Marysville_Harbor_4039.php
Marie Joseph Harbor,"44° 58' 5"" N","62° 4' 40"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Marie_Joseph_Harbor_4034.php
Port of Marathon,"48° 43' 12"" N","86° 23' 32"" W","Pier, Jetty or Wharf",Small,CAMAR,http://www.worldportsource.com/ports/CAN_Port_of_Marathon_2629.php
Mayne Harbor,"48° 51' 2"" N","123° 18' 50"" W","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/CAN_Mayne_Harbor_4012.php
Main Brook Harbor,"51° 10' 54"" N","56° 0' 47"" W","Pier, Jetty or Wharf",Very Small,CAMBR,http://www.worldportsource.com/ports/CAN_Main_Brook_Harbor_4051.php
Mahone Bay Harbor,"44° 26' 57"" N","64° 22' 40"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Mahone_Bay_Harbor_3978.php
Marystown Harbor,"47° 9' 51"" N","55° 8' 49"" W","Pier, Jetty or Wharf",Very Small,CAMTN,http://www.worldportsource.com/ports/CAN_Marystown_Harbor_4052.php
Lyall Harbour,"48° 47' 37"" N","123° 12' 4"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Lyall_Harbour_4013.php
Lunenburg Harbor,"44° 22' 16"" N","64° 18' 22"" W",Harbor,Small,CALUN,http://www.worldportsource.com/ports/CAN_Lunenburg_Harbor_3979.php
Lund Harbor,"49° 58' 59"" N","124° 46' 2"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/CAN_Lund_Harbor_3987.php
Louisbourg Harbor,"45° 55' 8"" N","59° 58' 14"" W",Harbor,Small,CALOU,http://www.worldportsource.com/ports/CAN_Louisbourg_Harbor_4049.php
Long Harbour,"47° 25' 49"" N","53° 48' 24"" W",Harbor,Small,CALOH,http://www.worldportsource.com/ports/CAN_Long_Harbour_4045.php
Port of Liverpool,"44° 2' 36"" N","64° 42' 21"" W",Harbor,Small,CALIV,http://www.worldportsource.com/ports/CAN_Port_of_Liverpool_3729.php
Little Narrows Harbor,"45° 59' 31"" N","60° 59' 13"" W",Harbor,Very Small,CALIN,http://www.worldportsource.com/ports/CAN_Little_Narrows_Harbor_4043.php
Lockeport Harbour,"43° 41' 55"" N","65° 6' 55"" W",Harbor,Small,CALCP,http://www.worldportsource.com/ports/CAN_Lockeport_Harbour_2628.php
Liscomb Harbor,"45° 1' 31"" N","61° 59' 44"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Liscomb_Harbor_4033.php
Port of Lewisporte,"49° 14' 45"" N","55° 3' 10"" W",Seaport,Small,CALWP,http://www.worldportsource.com/ports/CAN_Port_of_Lewisporte_2627.php
Letang Harbor,"45° 4' 27"" N","66° 50' 50"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Letang_Harbor_3974.php
Long Pond Harbor,"47° 31' 3"" N","52° 58' 7"" W",Harbor,Small,CALOP,http://www.worldportsource.com/ports/CAN_Long_Pond_Harbor_4047.php
Les Escoumins Harbor,"48° 20' 48"" N","69° 23' 19"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Les_Escoumins_Harbor_4041.php
Ladysmith Harbor,"49° 0' 5"" N","123° 49' 10"" W",Harbor,Small,CALAD,http://www.worldportsource.com/ports/CAN_Ladysmith_Harbor_4009.php
La Have Harbor,"44° 17' 44"" N","64° 21' 36"" W","Pier, Jetty or Wharf",Very Small,CALHA,http://www.worldportsource.com/ports/CAN_La_Have_Harbor_4040.php
La Baie Harbor,"48° 20' 6"" N","70° 52' 29"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_La_Baie_Harbor_4068.php
Port of Kitimat,"53° 59' 54"" N","128° 41' 16"" W",Seaport,Small,CAKTM,http://www.worldportsource.com/ports/CAN_Port_of_Kitimat_1489.php
Kingston Harbor,"44° 13' 56"" N","76° 28' 47"" W",Harbor,Small,CAKIN,http://www.worldportsource.com/ports/CAN_Kingston_Harbor_4038.php
Les Mechins Harbor,"49° 0' 15"" N","66° 58' 35"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Les_Mechins_Harbor_4042.php
Telegraph Harbour,"48° 58' 14"" N","123° 39' 39"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Telegraph_Harbour_4007.php
Iqaluit Harbor,"63° 43' 46"" N","68° 31' 27"" W","Pier, Jetty or Wharf",Small,CAIQL,http://www.worldportsource.com/ports/CAN_Iqaluit_Harbor_4029.php
Kelsey Bay Harbor,"50° 23' 27"" N","125° 57' 28"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Kelsey_Bay_Harbor_4035.php
Isaac's Harbour,"45° 10' 47"" N","61° 39' 25"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Isaac_s_Harbour_4030.php
Iona Harbour,"45° 57' 42"" N","60° 48' 15"" W",Harbor,Small,CAION,http://www.worldportsource.com/ports/CAN_Iona_Harbour_2614.php
Port of Kingsville,"42° 1' 33"" N","82° 43' 57"" W",Harbor,Small,CAKVL,http://www.worldportsource.com/ports/CAN_Port_of_Kingsville_2626.php
Holyrood Harbor,"47° 23' 37"" N","53° 7' 36"" W",Harbor,Small,CAHOD,http://www.worldportsource.com/ports/CAN_Holyrood_Harbor_4027.php
Port of Havre St Pierre,"50° 14' 11"" N","63° 36' 16"" W",Harbor,Small,CAHSP,http://www.worldportsource.com/ports/CAN_Port_of_Havre_St_Pierre_2625.php
Harmac Harbor,"49° 8' 19"" N","123° 51' 8"" W","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/CAN_Harmac_Harbor_4008.php
Port of Harbour Grace,"47° 41' 25"" N","53° 13' 2"" W",Harbor,Small,CAHRE,http://www.worldportsource.com/ports/CAN_Port_of_Harbour_Grace_2088.php
Harbour Breton,"47° 28' 34"" N","55° 49' 2"" W",Harbor,Small,CAHBR,http://www.worldportsource.com/ports/CAN_Harbour_Breton_4026.php
